".ci",".x",".y",".sids",".axisIndex","UKA_app.UKA.Kinase Name","UKA_app.UKA.Median Final score",".ri",".xs",".ys",".y0s"
1,-31.974453092994622,1.4507024008013714,90,0,"EPHB2",1.4507024008013714,0,20927,16398,65535
1,-30.4088632194338,1.4614262661931443,89,0,"BMX",1.4614262661931443,0,25591,16633,65535
1,-30.11814021887576,1.4614262661931443,88,0,"ABL1",1.4614262661931443,0,26457,16633,65535
1,-30.166286913479915,1.4780255280126062,86,0,"ABL2",1.4780255280126062,0,26314,16995,65535
1,-30.23493680318329,1.4808548180314705,85,0,"PTK2",1.4808548180314705,0,26109,17057,65535
1,-33.43112411132595,1.5257127768248413,77,0,"EPHA10",1.5257127768248413,0,16588,18037,65535
1,-33.1757250588386,1.5516028965422324,72,0,"RYK",1.5516028965422324,0,17349,18602,65535
1,-30.55117221631193,1.5651757037315062,68,0,"ERBB4",1.5651757037315062,0,25167,18899,65535
1,-30.53935167048343,1.5686362358410126,67,0,"SRC",1.5686362358410126,0,25202,18975,65535
1,-31.545938275891505,1.6163282261788874,60,0,"NTRK2",1.6163282261788874,0,22204,20016,65535
1,-30.313162696288373,1.6281197509084455,59,0,"PTK6",1.6281197509084455,0,25876,20274,65535
1,-30.702233264164466,1.640240383584299,56,0,"ITK",1.640240383584299,0,24717,20539,65535
1,-31.6990676419588,1.6699110542515192,53,0,"IGF1R",1.6699110542515192,0,21748,21187,65535
1,-34.46229188308647,1.6768216351578986,52,0,"CSF1R",1.6768216351578986,0,13517,21338,65535
1,-31.067741851730034,1.6878226435602213,51,0,"MET",1.6878226435602213,0,23628,21578,65535
1,-30.769577963842544,1.697063300295134,50,0,"TYRO3",1.697063300295134,0,24516,21780,65535
1,-32.86171059753497,1.7113037394097443,49,0,"FER",1.7113037394097443,0,18284,22091,65535
1,-30.59769946945803,1.7260269962304506,48,0,"MERTK",1.7260269962304506,0,25028,22413,65535
1,-32.19681224069569,1.7790555236765873,42,0,"KDR",1.7790555236765873,0,20265,23571,65535
1,-32.80547689002902,1.8873949984654255,35,0,"PDGFRB",1.8873949984654255,0,18452,25938,65535
1,-35.44415769256348,1.9495429052142699,34,0,"MST1R",1.9495429052142699,0,10592,27295,65535
1,-33.97974845569968,2.0744816418225698,21,0,"BLK",2.0744816418225698,0,14954,30025,65535
1,-33.09957632476583,2.1092437480817816,18,0,"FYN",2.1092437480817816,0,17576,30784,65535
1,-31.768401514011135,2.1092437480817816,19,0,"TEC",2.1092437480817816,0,21541,30784,65535
1,-38.28549377939881,2.1884249941294067,17,0,"PDGFRA",2.1884249941294067,0,2128,32514,65535
